Our_Slug,SKU,Product_Name
blueberry-ak-feminized,RKLP92830303-05,"Blueberry AK Feminized"
blueberry-badazz-og-feminized,RK1PO2744205-05-13,"Blueberry Badazz OG Feminized"
blueberry-feminized,RKQEC22091-05-13,"Blueberry Feminized"
blueberry-gusto-feminized,RKV892744044,"Blueberry Gusto Feminized"
blueberry-milk-feminized,RKQAA2826925-05,"Blueberry Milk Feminized"
bogart-feminized,RK6582737499-05-23,"Bogart Feminized"
bruce-almighty-feminized,RKDXJ2744434-05-13,"Bruce Almighty Feminized"
bubba-gift-feminized,RK2IP2737916-05-13,"Bubba Gift Feminized"
bubba-tom-hayes-feminized,RKI2W2737121-05-01,"Bubba Tom Hayes Feminized"
bubblegum-haze-feminized,RKM3Q2744330-05-01,"Bubblegum Haze Feminized"
bugatti-feminized,RKZ9Z2825816-09,"Bugatti Feminized"
burkle-feminized,RKXLY2733864,"Burkle Feminized"
burmese-kush-feminized,RK4182730827,"Burmese Kush Feminized"
c4-feminized,RK6BW2731336,"C4 Feminized"
cake-bomb-feminized,RK2412773379-01-13,"Cake Bomb Feminized"
cali-jack-feminized,RKMQ12737661-05-05,"Cali Jack Feminized"
candy-cane-feminized,RK5552733766,"Candy Cane Feminized"
candy-cream-feminized,RKEGD2744650,"Candy Cream Feminized"
candyland-peyote-feminized,RKXM22744185-05-01,"Candyland Peyote Feminized"
capers-feminized,RKBCF2736474-05-23,"Capers Feminized"
cbd-sour-lemon-feminized,RK85B2744830-05-17,"CBD Sour Lemon Feminized"
cement-shoes-feminized,RKZ782744170-05-25,"Cement Shoes Feminized"
cheeseburger-feminized,RK1JJ2737067-05-05,"Cheeseburger Feminized"
cheetah-piss-feminized,RKC432826807-05,"Cheetah Piss Feminized"
chem-crush-feminized,RK58F2736706-05-19,"Chem Crush Feminized"
cherry-chem-feminized,RKK2S2828878-05,"Cherry Chem Feminized"
cherry-kola-feminized,RK8VH2737954-05-13,"Cherry Kola Feminized"
cherry-kush-feminized,RKG2M2729678,"Cherry Kush Feminized"
china-yunnan-feminized,RKE512736643-05-19,"China Yunnan Feminized"
chocolate-chunk-feminized,RK7X32737629-05-13,"Chocolate Chunk Feminized"
chocolate-kush-feminized,RK3KI2737961-05-07,"Chocolate Kush Feminized"
chocolate-orange-feminized,RKUYZ2744718-05-03,"Chocolate Orange Feminized"
chronic-thunder-feminized,RKSYO2737883-05-23,"Chronic Thunder Feminized"
chupacabra-feminized,RKQI92736784-05-03,"Chupacabra Feminized"
cinex-auto,RKRWZ26906,"Cinex Auto"
cluster-bomb-feminized,RK6HE2737271-05-01,"Cluster Bomb Feminized"
coffee-feminized,RK23Y2824336-05,"Coffee Feminized"
cold-war-kush-feminized,RKA5J2744638-05-07,"Cold War Kush Feminized"
colombian-gold-auto,RK83S26872,"Colombian Gold Auto"
confidential-cheese-feminized,RK8392732779-05-07,"Confidential Cheese Feminized"
confidential-wreck-feminized,RKU6W2737448-05-19,"Confidential Wreck Feminized"
cookie-breath-feminized,RKOIG2737549-05-13,"Cookie Breath Feminized"
cookie-jar-feminized,RKS542736901-05-01,"Cookie Jar Feminized"
cookie-wreck-feminized,RK2VN2733386,"Cookie Wreck Feminized"
cookies-gelato-feminized,RK5PI2766639-05-25,"Cookies Gelato Feminized"
corkscrew-feminized,RKTT92770484,"Corkscrew Feminized"
cotton-candy-kush-auto,RK8H72730961,"Cotton Candy Kush Auto"
couch-lock-mixpack-feminized,RKLMA27706-03,"Couch Lock Mixpack Feminized"
cramnesia-feminized,RK3912744504-03-01,"Cramnesia Feminized"
cream-feminized,RKYES22131,"Cream Feminized"
critical-47-feminized,RKDG92744699-05-19,"Critical 47 Feminized"
critical-bilbo-feminized,RKXR92744656-05-07,"Critical Bilbo Feminized"
critical-crack-feminized,RKODP2744191-05-01,"Critical Crack Feminized"
critical-fast-bud-feminized,RK25U2729757,"Critical Fast Bud Feminized"
critical-glue-feminized,RKTIC2744632,"Critical Glue Feminized"
critical-jack-feminized,RKTR62730103,"Critical Jack Feminized"
critical-purple-feminized,RKB9X2744620,"Critical Purple Feminized"
crown-og-feminized,RK5L92733733,"Crown OG Feminized"
crystal-coma-feminized,RK3RK2733482,"Crystal Coma Feminized"
crystal-feminized,RK6G82743975-05-19,"Crystal Feminized"
dairy-queen-feminized,RK12W2731402,"Dairy Queen Feminized"
damnesia-feminized,RKPGI2736802-05-01,"Damnesia Feminized"
dark-side-of-the-moon-feminized,RK4432733495,"Dark Side of the Moon Feminized"
darth-vader-feminized,RKLO92824934-05,"Darth Vader Feminized"
dawgfather-og-feminized,RKM862737001-05-01,"Dawgfather OG Feminized"
deadly-sativas-mixpack,RKE3M27681-03,"Deadly Sativas Mixpack"
deep-purple-auto,RK2HF2731866,"Deep Purple Auto"
diablo-auto,RKUBD2731960,"Diablo Auto"
diamond-valley-kush-feminized,RKL3E2736974-05-05,"Diamond Valley Kush Feminized"
diesel-duff-feminized,RKR2R2736699-05-09,"Diesel Duff Feminized"
diesel-power-feminized,RK64L2744626-05-25,"Diesel Power Feminized"
dinachem-feminized,RK8552738196-05-01,"Dinachem Feminized"
disney-blue-feminized,RK53W2736790-05-19,"Disney Blue Feminized"
dizzy-og-feminized,RKU522736681-05-07,"Dizzy OG Feminized"
do-si-dos-auto,RKW1L26921,"Do-Si-Dos Auto"
dogwalker-og-feminized,RK1AP2732551,"Dogwalker OG Feminized"
doobiebird-daydream-feminized,RK32U2737375-05-01,"Doobiebird Daydream Feminized"
dosi-punch-feminized,RK4352828281-05,"Dosi Punch Feminized"
double-bubble-feminized,RKM1L2827118-09,"Double Bubble Feminized"
dream-berry-feminized,RKHG62733832,"Dream Berry Feminized"
dream-police-feminized,RKJ8T2737356-05-07,"Dream Police Feminized"
dream-queen-feminized,RK9F52730323,"Dream Queen Feminized"
dutch-hawaiian-feminized,RK2UL2830043-05,"Dutch Hawaiian Feminized"
dynamite-diesel-feminized,RK3M32770393-05-23,"Dynamite Diesel Feminized"
early-girl-feminized,RKI362737877-05-25,"Early Girl Feminized"
early-miss-feminized,RKST42737109-05-07,"Early Miss Feminized"
ecto-cooler-feminized,RKAT52738214-05-03,"Ecto Cooler Feminized"
el-jefe-feminized,RKWPM2737889-05-19,"El Jefe Feminized"
el-perro-feminized,RKQY42737296-05-01,"El Perro Feminized"
electric-blue-feminized,RKZ772744662,"Electric Blue Feminized"
envy-feminized,RK9KI2825418-05,"Envy Feminized"
eran-almog-feminized,RKBR12738057-05-23,"Eran Almog Feminized"
euphoria-cookies-feminized,RKOKF2737145-05-25,"Euphoria Cookies Feminized"
fat-nelson-feminized,RKTM42737583-05-13,"Fat Nelson Feminized"
flo-og-feminized,RKNXL2736650-05-23,"Flo OG Feminized"
flying-princess-feminized,RKREZ2744693-05-03,"Flying Princess Feminized"
